H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
112,26954000,0,98.83041,0,1.169591,1.169591,98.82025,0,0,0,0,0,98.5,1.5,0,1.5,0,0,0,0,98.49861,31228000,0,0,-94,-9.5,0,0,0,839.34,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,843.26,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,843.74,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,831.59,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,842.32,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,842.22,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,838.87,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,835.29,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,848.8,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,839.83,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,851.15,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,832.61,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,843.8,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,839.92,0,10.1,-9,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,849.87,0,10.1,-9,-52.2
112,26784000,0,98.14815,0,1.851852,1.851852,98.13146,0,0,0,0,0,97.36842,2.631579,0,2.631579,0,0,0,0,97.36626,30869000,0,0,-94,-10,0,0,0,835.23,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,846.17,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,849.4,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,850.79,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,835.22,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,850.69,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,847.15,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,841.13,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,841.49,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,846.87,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,850.49,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,838.01,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,841.61,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,838.25,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,848.53,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,844.46,0,10.1,-8,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,842.83,0,10.1,-8,-52.2
112,26445000,0,96.91358,0,3.08642,3.08642,96.88943,0,0,0,0,0,95.26316,4.736842,0,4.736842,0,0,0,0,95.49899,30277000,0,0,-94,-9.5,0,0,0,847.63,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,854.5,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,840.49,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,846.91,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,847.48,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,854.65,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,840.86,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,853.86,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,847.11,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,847.13,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,839.86,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,853.09,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,847.25,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,846.19,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,840.01,0,10.1,-7,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-10,0,0,0,855.42,0,10.1,-7,-52.2
112,26614000,0,97.53086,0,2.469136,2.469136,97.50861,0,0,0,0,0,96.31579,3.684211,0,3.684211,0,0,0,0,96.31277,30535000,0,0,-94,-9.5,0,0,0,844.7,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,851.04,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,853.56,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,859,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,846.11,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,852.09,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,852.54,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,859.02,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,845.34,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,857.93,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,852.02,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,860.75,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,846.27,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,860.53,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,852,0,10.1,-6,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,865.49,0,10.1,-6,-52.2
112,27124000,0,99.4152,0,0.5847953,0.5847953,99.41013,0,0,0,0,0,99,1,0,1,0,0,0,0,98.99697,31386000,0,0,-94,-9.5,0,0,0,853.1,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,865.44,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,861.62,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,865.82,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,852.62,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,867.87,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,865.55,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,862.07,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,859.26,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,866.89,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,867.64,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,879.25,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,857.94,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,870.29,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,861,0,10.1,-5,-52.2
112,27294000,0,100,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,100,31704000,0,0,-94,-9.5,0,0,0,894.45,0,10.1,-5,-52.2
112,26811000,0,98.24561,0,1.754386,1.754386,98.23038,0,0,0,0,0,97.5,2.5,0,2.5,0,0,0,0,97.49874,30911000,0,0,-94,-9.5,0,0,0,961.29,0,10.1,-4,-52.2
