H_degree,DL_LteThp(bps),DL_NrDlThp(bps),DL_LteAck%,DL_LteNack%,DL_LteDtx%,DL_LteBLER%,DL_LteThp%,DL_NrAck%,DL_NrNack%,DL_NrDtx%,DL_NrBLER%,DL_NrThp%,UL_LteAck%,UL_LteNack%,UL_LteDtx%,UL_LteBLER%,UL_NrAck%,UL_NrNack%,UL_NrDtx%,UL_NrBLER%,UL_LteThp%,UL_LteTph(bps),UL_NrThp%,UL_NrTph(bps),Lte_RSRP(dBm),Lte_RSRQ(dBm),NR_RSRP(dBm),NR_RSRQ(dBm),NR_SINR(dBm),UE_PowerMeas(mW),NRULpwr(dBm),NRDLpwr(dBm),LTEULpwr(dBm),LTEDLpwr(dBm) 
-180.0,27294000,20075000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-76,-10.5,23.5,3783.51,0,10.1,0,-52.2
-179.49930458970792,27294000,20075000,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0.0,100.0,0.0,0.0,0.0,100.0,31704000,100.0,6003000,-91,-9.5,-77,-10.5,23.5,3747.51,0,10.1,0,-52.2
-178.99860917941587,19491000,20064000,71.34503,0.0,28.65497,28.65497,71.4113,100.0,0.0,0.0,0.0,100.0,44.61538,55.38462,0,55.38462,100.0,0.0,0.0,0.0,44.61519,13791000,100.0,6003000,-91,-9.5,-77,-10.5,23.5,3694.15,0,10.1,0,-52.2
-178.49791376912378,19628000,20075000,71.92982,0.0,28.07018,28.07018,71.91324,100.0,0.0,0.0,0.0,100.0,51.77665,48.22335,0,48.22335,100.0,0.0,0.0,0.0,51.77725,16169000,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3710.08,0,10.1,0,-52.2
-177.9972183588317,13634000,20064000,49.7076,0.0,50.2924,50.2924,49.68125,100.0,0.0,0.0,0.0,100.0,1.04712,98.95288,0,98.95288,100.0,0.0,0.0,0.0,1.046999,317000,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3751.79,0,10.1,0,-52.2
-177.49652294853965,13584000,20064000,49.7076,0.0,50.2924,50.2924,49.76918,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3575.93,0,10.1,0,-52.2
-176.99582753824757,13894000,20064000,50.55556,0.0,49.44444,49.44444,50.56056,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3647.9,0,10.1,0,-52.2
-176.4951321279555,13388000,20064000,49.12281,0.0,50.87719,50.87719,49.05107,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3515.04,0,10.1,0,-52.2
-175.99443671766343,13411000,20052000,48.88889,0.0,51.11111,51.11111,48.91918,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3524.7,0,10.1,0,-52.2
-175.49374130737135,13634000,20064000,50.2924,0.0,49.7076,49.7076,50.22716,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100.0,100.0,0.0,0.0,0.0,0.0,0,100.0,6003000,-91,-9.5,-78,-10.5,23.5,3518.02,0,10.1,0,-52.2
